id,loginid,companycode,scrollid,ssokid,framecode,processcode,operationname,operationdate,contentsid,contentsname,devicecode,deviceid,memo_text,page_no,bookpage_no,before_time,after_time,display,page_row,scale,start_line,end_line,download_number,time,all_lines,pages,description,import_date,diftime,cabinetid,color,markertext,type,positiontype,chapter,section,subsection,title,text,created_at,updated_at,course_id,course_label,course_title,consumer_key,contents_url,systemHomePage,version,memo_hand,memo_hand_bg
24397,274,K22,admin,admin,VI,023,OPEN,"2020-05-28 03:03:22",c81e728d9d4c2f636f067f89cc14862c,"【教員用】Moodleマニュアル （参考）",NULL,admin,,1,1,"2019-02-21 03:03:22","2019-02-21 03:03:22",1,0,1,0,0,0,0,0,0,,"2019-02-21 03:03:22",0,0,,,,,0,0,0,,,"2019-02-21 12:04:06","2019-02-21 12:04:06",,2019年度前期EEC1[高1]2組後半,,,,,NULL,,0
24398,275,K22,admin,admin,VI,003,NEXT,"2020-05-28 03:03:22",c81e728d9d4c2f636f067f89cc14862c,"【教員用】Moodleマニュアル （参考）",NULL,admin,,1,1,"2019-02-21 03:03:22","2019-02-21 03:03:22",1,0,1,0,0,0,0,0,0,,"2019-02-21 03:03:22",0,0,,,,,0,0,0,,,"2019-02-21 12:04:06","2019-02-21 12:04:06",,2018年度前期EEC1[高1]3組後半,,,,,NULL,,0
24399,276,K22,admin,admin,VI,003,NEXT,"2020-05-28 03:03:22",c81e728d9d4c2f636f067f89cc14862c,"【教員用】Moodleマニュアル （参考）",NULL,admin,,2,2,"2019-02-21 03:03:22","2019-02-21 03:03:22",1,0,1,0,0,0,0,0,0,,"2019-02-21 03:03:22",0,0,,,,,0,0,0,,,"2019-02-21 12:04:06","2019-02-21 12:04:06",,2017年度前期EEC1[高1]2組後半,,,,,NULL,,0
24400,277,K22,admin,admin,VI,003,NEXT,"2020-05-28 03:03:22",c81e728d9d4c2f636f067f89cc14862c,"【教員用】Moodleマニュアル （参考）",NULL,admin,,3,3,"2019-02-21 03:03:22","2019-02-21 03:03:22",1,0,1,0,0,0,0,0,0,,"2019-02-21 03:03:22",1,0,,,,,0,0,0,,,"2019-02-21 12:04:06","2019-02-21 12:04:06",,2019年度前期EEC1[高1]2組後半,,,,,NULL,,0
24474,326,K22,116,116,VI,023,OPEN,"2019-02-21 03:26:13",c4ca4238a0b923820dcc509a6f75849b,ごみについて考えよう,NULL,116,,1,1,"2019-02-21 03:26:13","2019-02-21 03:26:13",1,0,1,0,0,0,0,0,0,,"2019-02-21 03:26:13",2,0,,,,,0,0,0,,,"2019-02-21 12:27:05","2019-02-21 12:27:05",16,研修会,教員への研修会,4A21B703-6CF5-EEA6-CBDC-2951E7333003,,,NULL,,0
24475,327,K22,116,116,VI,003,NEXT,"2019-02-21 03:26:15",c4ca4238a0b923820dcc509a6f75849b,ごみについて考えよう,NULL,116,,1,1,"2019-02-21 03:26:15","2019-02-21 03:26:15",1,0,1,0,0,0,0,0,0,,"2019-02-21 03:26:15",8,0,,,,,0,0,0,,,"2019-02-21 12:27:05","2019-02-21 12:27:05",16,研修会,教員への研修会,4A21B703-6CF5-EEA6-CBDC-2951E7333003,,,NULL,,0
24476,328,K22,116,116,VI,016,"ADD MARKER","2019-02-21 03:26:23",c4ca4238a0b923820dcc509a6f75849b,ごみについて考えよう,NULL,116,,2,2,"2019-02-21 03:26:23","2019-02-21 03:26:23",1,0,1,0,0,0,0,0,0,,"2019-02-21 03:26:23",5,0,"rgb(255,255,0)",火曜日,,"372,713,133,59,1920,1080",0,0,0,,,"2019-02-21 12:27:05","2019-02-21 12:27:05",16,研修会,教員への研修会,4A21B703-6CF5-EEA6-CBDC-2951E7333003,,,NULL,,0
24477,329,K22,116,116,VI,016,"ADD MARKER","2019-02-21 03:26:28",c4ca4238a0b923820dcc509a6f75849b,ごみについて考えよう,NULL,116,,2,2,"2019-02-21 03:26:28","2019-02-21 03:26:28",1,0,1,0,0,0,0,0,0,,"2019-02-21 03:26:28",2,0,"rgb(255,255,0)",木曜日,,"722,717,128,70,1920,1080",0,0,0,,,"2019-02-21 12:27:05","2019-02-21 12:27:05",16,研修会,教員への研修会,4A21B703-6CF5-EEA6-CBDC-2951E7333003,,,NULL,,0
24478,330,K22,116,116,VI,003,NEXT,"2019-02-21 03:26:30",c4ca4238a0b923820dcc509a6f75849b,ごみについて考えよう,NULL,116,,2,2,"2019-02-21 03:26:30","2019-02-21 03:26:30",1,0,1,0,0,0,0,0,0,,"2019-02-21 03:26:30",6,0,,,,,0,0,0,,,"2019-02-21 12:27:05","2019-02-21 12:27:05",16,研修会,教員への研修会,4A21B703-6CF5-EEA6-CBDC-2951E7333003,,,NULL,,0
24479,331,K22,116,116,VI,020,"CHANGE MEMO","2019-02-21 03:26:36",c4ca4238a0b923820dcc509a6f75849b,ごみについて考えよう,NULL,116,紙ごみ,3,3,"2019-02-21 03:26:36","2019-02-21 03:26:36",1,0,1,0,0,0,0,0,0,2-1_569-557-1918-1078,"2019-02-21 03:26:36",3,0,,,,,0,0,0,,,"2019-02-21 12:27:05","2019-02-21 12:27:05",16,研修会,教員への研修会,4A21B703-6CF5-EEA6-CBDC-2951E7333003,,,NULL,,0
